Date,Time,Room,Title,Summary,Experiment,Keywords,Interest,Type
2024-03-13,06:50:00 PM,Lecture Hall 1,p-adic reconstruction of rational functions in multi-loop calculations,"Discusses a new p-adic technique for compact rational function interpolation in multi-loop calculations, requiring fewer samples than traditional methods and resulting in more compact calculations in particle physics. Not quantum computing, lattice theory, or neutrino-specific.  |  | 'high' | The talk directly addresses techniques using p-adic numbers to improve the efficiency and compactness of multi-loop scattering amplitude calculations, which is within the scope of my interests, especially concerning computational methods applicable to theoretical physics.",Blank,"['p-adic reconstruction', 'multi-loop calculations', 'computer algebra', 'interpolation', 'rational functions', 'particle physics']",3,Oral
2024-03-13,07:15:00 PM,,Ahead-of-time (AOT) compilation of Tensorflow models for deployment,The TensorFlow AOT model compilation talk discusses deploying machine learning models in particle physics with low memory and higher computational efficiency for better real-world production scenarios. Integration practices and strategies are also presented for practical implementation in physics experiments. A focus on performance improvement for central IT infrastructure utilization in high-energy physics experiments.,CMS,"['Machine Learning', 'Distributed Computing', 'Data Preservation', 'AOT Compilation', 'TensorFlow models', 'Deployment', 'High Energy Physics', 'Resource Optimization']",2,Poster
,,Lecture Hall 1,Generalized Parton Distribution Functions via Quantum Computing,Quantum simulation algorithms developed for studying general parton distribution functions in 2D QCD,,"['Quantum Computing', 'Parton Distribution Functions', 'Light-Front Field Theory', 'Harmonic Resolution', 'Quantum Simulation']",1,Oral
2024-03-13,08:30:00 PM,Theatre,Optimizing the ATLAS Geant4 detector simulation,"The ATLAS experiment enhanced Geant4 simulation for better FL-LHC throughput with recent Woodcock tracking integration and various optimizations like software enhancements, simplifications in geometry/magnetic field descriptions, and code-Geant4 interface tweaks leading to over 100% improvement in performance.",ATLAS,"['Geant4', 'ATLAS', 'Monte Carlo Simulation', 'Performance Optimization', 'Electromagnetic Calorimeter', 'Run 3', 'HL-LHC']",3,Oral
2024-03-14,07:10:00 PM,,Is Quantum Computing energy efficient? An Investigation on a quantum annealer.,Evaluation of quantum annealer's energy efficiency compared with HPC technologies for environmentally sensitive computing tasks,blank,"['quantum annealing', 'D-Wave Advantage', 'energy efficiency', 'computational tasks']",1,Poster
2024-03-13,05:50:00 PM,Lecture Hall 1,A fresh look at the nested soft-collinear subtraction scheme: NNLO QCD corrections to N-gluon final states in quark-anti-quark annihilation,NNLO QCD corrections in quark-anti-quark annihilation into gluons using nested subtraction scheme,,"['QCD', 'NNLO', 'soft-collinear subtraction', 'gluon jets', 'quark-anti-quark', 'infrared subtraction terms']",1,Oral
2024-03-12,03:30:00 PM,Lecture Hall 1,Fast and Precise Amplitude Surrogates with Bayesian and Symmetry Preserving Networks,Deep learning with symmetries for accurate matrix elements scaling despite multiple particles in interactions,,"['Deep learning', 'Symmetry preservation', 'Bayesian networks', 'Machine learning']",3,Oral
2024-03-14,07:50:00 PM,Theatre,FASER Tracking and Emulsion Station Alignment,FASER experiment observes high-energy muons from possible new particle decays and neutrino interactions. Initial results from Run3 include the first direct neutrino detection. Detector alignment is crucial for accurate reconstruction; challenges include emulsion detector and InterFace Tracker alignment. Updated alignment approaches utilizing 2022 collision data presented.,FASER,"['neutrino', 'tracker stations', 'detection', 'particle decay']",0,Oral
2024-03-13,08:50:00 PM,Theatre,"""Accelerating Particle Physics Simulations with Machine Learning using Normalizing Flows and Flow Matching""","Accelerating high-energy physics simulations using machine learning; significant speed-up seen through Normalizing Flows and Flow Matching, focusing on event reconstruction and statistical uncertainties reduction, promising for modern particle experiments. A concise, speedy, and accurate alternative to traditional simulation methods, with high potential and expressive capabilities for physics processes simulation tasks. A new approach, directly simulating the final data format from physical generators without intermediate steps, benchmarked with particle jets simulation, employs a novel technique that demonstrates versatility and robustness with training data scaling and generalized performance across different physics processes. An advanced algorithm showing promise for enhanced data preservation in particle physics fields utilizing data analytics and AI tools like Python and ROOT's DataFrame, also hints at distributed computing integration potential for scalable and FAIR principles compliant simulation operations in particle experiments. Contributes to accelerated discovery of rare phenomena and improvements in methodologies for physics event analysis.",Belle II,"['High-energy physics', 'Normalizing Flows', 'Flow Matching', 'Accelerated Particle Physics Simulation', 'Discrete vs. Continuous Models', 'Machine Learning Applications', 'Oversampling', 'Data-Driven Event Reconstruction', 'Particle Jets Simulation', 'Statistical Reduction', 'Physics Generator Direct Simulation', 'AI Integration', 'Data Analysis Tools', 'Distributed Computing', 'Open Science']",3,Oral
2024-03-11,06:30:00 PM,Lecture Hall 1,Real-time error mitigation for variational optimization on quantum hardware,Exploring real-time error mitigation within quantum computing for machine learning optimization,Quantum Computing,"['quantum error mitigation', 'variational optimization', 'Importance Clifford Sampling method', 'noise-adaptive algorithms', 'quantum circuit training']",1,Oral
2024-03-11,06:10:00 PM,Lecture Hall 1,QUnfold: Quantum Annealing for Distributions Unfolding in High-Energy Physics,"Quantum annealing-based module for unfolding HEP data; regularized log-likelihood minimizes QUBO on simulated data, with results compared to conventional methods",,"['Quantum Annealing', 'Data Unfolding', 'HEP', 'Quantum Unconstrained Binary Optimization', 'Regularized Log-Likelihood', 'Particle Collisions', 'Madgraph', 'Delphes', 'D-Wave Ocean']",3,Oral
2024-03-11,05:50:00 PM,Lecture Hall 1,quantum GAN for fast shower simulation,"Leverage Quantum GANs for faster shower simulation in high-energy physics, with a hybrid model on quantum simulators, despite current hardware limitations. Shows promise for ATLAS experiment's calorimeter simulations, and includes analysis of quantum noise impacts in both simulated and real quantum instances. Introduces a generative model for intricate shower images with variability.",ATLAS,"['Generative Adversarial Networks', 'Quantum Computing', 'High-Energy Physics', 'Shoring Simulation', 'Quantum Simulators', 'Classical-Quantum Hybrid Models', 'Calorimeter Simulations', 'Quantum Noise AnalysiS', 'ACLAD']",3,Oral
2024-03-11,05:30:00 PM,Lecture Hall 1,Quantum simulation with just-in-time compilation,"Implementing JIT-compiled quantum simulations with qibojit on common hardware like CPUs and GPUs, benchmarking against public libraries",Blank,"['Quantum simulation', 'Just-in-time compilation', 'Qibo quantum computing framework', 'CPUs', 'GPUs', 'benchmarking']",1,Oral
2024-03-11,08:30:00 PM,Lecture Hall 1,Towards an open-source hybrid quantum operating system,"Qibo's open-source quantum computing framework supports self-hosted hardware calibration with Qibolab and Qibocal libraries for efficient algorithm execution and device characterization on various platforms, emphasizing modularity in software abstraction between hardware and simulation environments.",,"['quantum computing', 'quantum algorithms', 'open-source framework', 'backend abstraction', 'simulation', 'quantum hardware', 'Hardware-agnostic approach']",1,Oral
2024-03-11,08:10:00 PM,Lecture Hall 1,Quantum-centric Supercomputing for Physics Research,"The conference talk explores how Quantum-centric Supercomputing (QCSC) will integrate quantum and classical computing resources for complex physics research, with insights into IBM Quantum's contribution, focusing on computations unachievable by current technology alone. It covers development roadmaps, community engagement, and practical use cases with QCSC for scientists and computational experts in the physics community.",,"['Quantum Computing', 'Quantum-centric Supercomputing', 'Quantum and High Performance Computing', 'Classical and Quantum Hybrid Workloads', 'Scientific Computation', 'IBM Quantum Computing', 'Physics Research Tools']",1,Oral
2024-03-11,07:50:00 PM,Lecture Hall 1,Advancing Image Classification using Intel SDK: Integrating NAQSS Encoding with Hybrid Quantum-Classical PQC Models,AI advances with Intel SDK for quantum-encoded image classification showing accuracy tied to image size increase,,"['Artificial intelligence', 'Image classification', 'Quantum Machine Learning (QML)', 'Normal Arbitrary Quantum Superposition State (NAQSS) encoding', 'Parameterized Quantum Circuit (PQC) hybrid', 'Intel Quantum SDK (Software Development Kit)']",2,Oral
2024-03-12,02:50:00 PM,,Modern Machine Learning Tools for Unfolding,"Machine learning improves LHC data unfolding in high-dimensional settings, with methods for event reweighting and conditional sampling to account for multi-dimensional correlations, complemented by tools for comparing performance. This talk offers a modern approach for unfolding techniques in particle physics research.",,"['Machine Learning', 'Unfolding', 'LHC', 'Data Analysis', 'Multi-Dimensional Correlations', 'Conditional Phase Space Sampling', 'Event Reweighting']",3,Oral
2024-03-14,07:10:00 PM,,Implementation of zero trust security strategy in HEPS scientific computing system,Zero Trust security approach implemented in HEPS system using user identity tokens for service protection,,"['Zero Trust', 'Security', 'HEPS scientific computing system', 'User Identity Tokens', 'Service Interactions', 'Computing Services', 'Data Protection']",3,Poster
2024-03-14,07:10:00 PM,,Using Legacy ATLAS C++ Calibration Tools in Modern Columnar Analysis Environments,"R&D adaptation of ATLAS's legacy calibration tools for use in columnar analysis. Minimal code changes, no intermediate data storage needed. Illustrated with a Python code example for Z-boson peak analysis. (Abstract summary, <200 chars.)",ATLAS,"['ATLAS', 'columnar analysis', 'calibration tools', 'legacy software', 'minimal code changes']",2,Poster
2024-03-14,07:10:00 PM,,Design and Implementation of a Container-based Public Service Cloud Platform for HEPS,"A container-based public service cloud platform for High Energy Photon Source (HEPS) utilizing Kubernetes for efficient, scalable, and secure service delivery with CICD workflows and a variety of support services included in future development",,"['HEPS', 'Cloud Computing', 'Kubernetes', 'Container Orchestration', 'CICD']",3,Poster
2024-03-13,07:15:00 PM,,Supervised job preemption methodology for controlled memory consumption of jobs running in the ALICE Grid,Analysis and improvement of controlled resource consumption by jobs on the ALICE Grid considering batch scheduling and resource sharing policies to prevent job failures due to overconsumption,ALICE,"['ALICE Grid', 'controlled memory consumption', 'Grid resource allocation', 'resource management', 'job preemption', 'DAS algorithm']",2,Poster
2024-03-11,06:50:00 PM,Theatre,"Low Latency, High Bandwidth Streaming of Experimental Data with EJFAT","The EJFAT architecture integrates edge and cluster computing to process streaming experimental data from LHC in real-time with low latency, benefiting data-centric workflows and future data centers, without requiring data source reconfiguration or static network resource allocation.",,"['Low Latency', 'High Bandwidth', 'Edge Computing', 'Cluster Computing', 'FPGA Accelerated', 'Stream Processing', 'Real-time Data Acquisition', 'Data Centers']",2,Oral
2024-03-11,06:30:00 PM,Theatre,CLAS12 remote data-stream processing using ERSAP framework,"Data-stream processing framework ERSAP integrates CLAS12 event reconstruction over remote servers, enhancing real-time data handling and quality assurance without extensive disk storage.",,"['CLAS12', 'ERSAP', 'data-stream processing', 'event reconstruction', 'Remote Data Centers', 'Real-time Processing', 'Quantum Computing', 'Neutrino Physics']",3,Oral
2024-03-11,06:10:00 PM,Theatre,HEP Benchmark Suite: Enhancing Efficiency and Sustainability in Worldwide LHC Computing Infrastructures,"The HEP Benchmark Suite optimizes computing resource performance across WLCG sites, measuring execution speed, machine load, memory, swap, and power consumption, while identifying site configuration issues for sustainable computing practices in the LHC program.",BLANK,"['HEP Benchmark Suite', 'Worldwide LHC Computing Grid', 'computing resource efficiency', 'sustainability in physics', 'HEPScore23', 'energy consumption', 'power utilization', 'site misconfiguration']",2,Oral
2024-03-11,05:50:00 PM,Theatre,A Function-As-Task Workflow Management Approach with PanDA and iDDS,"Presentation details a workflow management system using PanDA and iDDS for high energy physics analysis coordination, leveraging Python and workflow modeling to schedule diverse tasks across distributed resources on a ML machine learning hyperparameter optimization case study on ttH analysis from ATLAS experiments.",ATLAS,"['workflow management', 'PanDA', 'iDDS', 'HPO', 'dds']",3,Oral
2024-03-11,05:30:00 PM,Theatre,JUNO raw data management system,"JUNO raw data management system designed for efficient handling and processing of multi-petabyte data for neutrino experiments and long-term data preservation, utilizing distributed computing systems and automatic processing algorithms for robust data operations and quality control measures. Testing and monitoring dashboards implemented for system reliability and integrity validation, with future integrations into ongoing data challenges planned for early 2024 following commissioning in 2023.",JUNO,"['Data Management', 'Neutrino Experiment', 'Distributed Computing', 'Raw Data Processing', 'HARDDrive', 'Data Preservation', 'Quality Control', 'Data Reconstruction', 'Registration', 'Replication', 'FAIR Principles', 'JUNO', 'CMS', 'LHCb', 'MATHUSLA']",3,Oral
2024-03-13,08:10:00 PM,Theatre,CaloDiT: Diffusion with transformers for fast shower simulation,"Investigates combining transformer models with diffusion approaches to simulate calorimeter showers. Balances generative quality and model generalization. Results promote a unified model across geometries for accurate event reconstruction and detector design optimization without specific reference to experiments or physics domains. Interest in potential application areas for machine learning in particle physics experiments remains moderate, given lack of specific context or direct experimental correlation in abstract.",,"['transformer models', 'diffusion models', 'data simulation', 'calorimeter showers', 'event reconstruction', 'machine learning', 'non-destructive measurements']",2,Oral
2024-03-13,07:50:00 PM,Theatre,Towards a Simplified (Fast) Simulation Infrastructure in ATLAS,"The ATLAS experiment at CERN deploys a fast Monte Carlo simulated events system to manage limited CPU resources, with the ISF framework facing maintenance complexity. A Geant4 toolkit may soon replace the complicated particle routing algorithms with FastCaloSimV2 integration. The talk discusses a first implementation of FastCaloSimV2 tailored for the ATLAS calorimeter system within Geant4 for future streamlined simulation processes.",ATLAS,"['Monte Carlo simulations', 'FastCaloSimV2', 'Geant4 fast simulation model', 'Simulation complexity', 'Calorimeter simulation']",0,Oral
2024-03-14,06:50:00 PM,Theatre,Effective denoising diffusion probabilistic models for fast and high fidelity whole-event simulation in high-energy heavy-ion experiment,"AI denoising diffusion surrogates tested against GANs for heavy-ion event simulation in high-energy physics experiments. Proves DDPM superior in rare event reconstruction in calorimaton data sets, with consistent results across varied centralities.","sPHENIX,","['AI surrogate models', 'DDPM', 'GANs', 'sPHENIX experiment', 'photographic quality images', 'energy spread']",3,Oral
2024-03-14,06:30:00 PM,Theatre,Deep learning methods for noise filtering in the NA61/SHINE experiment.,Reputation paper on deploying machine learning for real-time noise filtering in the NA61/SHINE experiment using state-of-the-art AI methods within CERN's framework,NA61/SHINE,"['Machine Learning', 'Time Projection Chamber', 'Neural Networks', 'TensorFlow C++ Library', 'Docker', 'Noise Filtering', 'Data Reconstruction', 'ROC Analysis']",3,Oral
2024-03-14,08:50:00 PM,Theatre,First experiences with the LHCb heterogeneous software trigger,"LHCb detector software trigger exploration utilizing GPUs and CPUs to facilitate real-time physics data analysis, including challenges in handling a heterogeneous computing environment during its initial operating periods in 2022 and 2023",LHCb,"['LHCb detector', 'Software trigger', 'GPU-CPU hybrid', 'Real-time analysis', 'Heterogeneous architecture']",2,Oral
2024-03-14,08:30:00 PM,Theatre,Phase-2  Upgrade of the ATLAS L1 Central Trigger,ATLAS trigger upgrades for Phase 2 LHC operation considering advanced electronics and SoC-based CTP system,ATLAS,"['Triggers', 'ATLAS LHC', 'SoC', 'FPGA', 'Calorimeters', 'Muon detectors']",2,Oral
2024-03-12,03:50:00 PM,Theatre,Fair Universe: HiggsML Uncertainty Challenge,"A platform for AI challenges in systematic uncertainty prediction using a large dataset from Higgs decay to tau leptons, leveraging the Fair Universe initiative at NERSC",,"['AI', 'HEP', 'Quantitative Uncertainty', 'Large-scale Compute', 'ML Challenge']",3,Oral
2024-03-14,07:10:00 PM,,The performance profiling of ptycho-W1Net AI algorithm on DCU and HUAWEI NPU 910,"Troop APS refines ptychoNN for GPU, then scales out AI model W1-Net on clusters but finds mixed performance. Further optimization via profiling and refinements leads to significant speed improvements on HUAWEI NPU cluster, particularly on 910*8 setups. Profiling reveals atomic operation bottlenecks in training function as key speed-limiting factors. With code tuning, training speed halves while maintaining precision, a step forward for machine learning in particle physics infrastructure, but results are varied across hardware platforms including DCU and HUAWEI NPU. No direct mention of hidden sector physics, long-lived particles, or relevant AI analysis methods. Performance profiling alone is an interesting component but more context needed for full assessment within the specified topics interest and dissection boundaries.",,"['DataCamp', 'particle physics', 'Nvidia A100', 'pyCharm', 'pytorch', 'AWS Cloud9', 'ATLAS', 'interest_levels']",1,Poster
2024-03-14,07:10:00 PM,,Scaling the SciDAC QuantOM Workflow,QuantOM analyzing DIS data for quantum chromodynamics via GPU clustering at Argonne National Lab. Aims for event-level workflow optimizing DIS experiments from Jefferson Lab and Electron Ion Collider. Discusses challenges in scaling the workflow and results in comparison with distributed machine learning techniques,,"['SciDAC program', 'Quantum Chromodynamics', 'Nuclear Tomography', 'Deep Inelastic Scattering experiments', 'GPU clustering', 'distributed training techniques', 'Polaris at Argonne National Laboratory']",3,Poster
2024-03-14,07:10:00 PM,,Monitoring the OSDF - Open Science Data Federation,"A summary of the abstract that does not repeat the title. Extensive processing in computational physics drives efficient global data distribution through OSDF, an evolution of StashCache with improved features for a wide range of scientific data sharing in the national cyberinfrastructure. Enhanced monitoring tools enhance service health visibility during operations. (No abstract provided to summarize.)",TBD,"['distributed computing', 'data preservation', 'FAIR principles']",3,Poster
2024-03-14,07:10:00 PM,,AI-driven HPC Workflows Execution with Adaptivity and Asynchronicity in Mind,AI-driven adaptable HPC workflows for quantum leaps in scientific work execution,Blank,"['machine learning', 'HPC', 'adaptive execution', 'heterogeneous tasks', 'performance', 'resource utilization']",2,Poster
2024-03-14,07:10:00 PM,,Study of columnar data analysis methods to complete an ATLAS analysis,"This presentation explores the effectiveness of columnar data analysis tools (ServiceX and Coffea) for ATLAS Run-2 data at the LHC, demonstrating workflow integration for efficient HEP data analysis",ATLAS,"['collinear data analysis', 'ServiceX', 'Coffea', 'ATLAS', 'HEP data']",3,Poster
2024-03-14,07:10:00 PM,,Acceleration of the ML based fast simulation in high energy physics,"Describes an approach for improving efficiency in ML-based simulations relevant for high energy physics using Diffusion Model advancements for event and detector simulation under budgetary and computational constraints, demonstrating superior performance on benchmark datasets and techniques to achieve this speedup.",N.A.,"['Machine Learning', 'High Energy Physics', 'Diffusion Model', 'Event Simulation', 'Detector Simulation', 'Efficiency', 'Convergence Techniques']",3,Poster
