Date,Time,Room,Title,Summary,Experiment,Keywords,Interest,Type
2024-03-13,06:50:00 PM,Lecture Hall 1,p-adic reconstruction of rational functions in multi-loop calculations,"Uses p-adic numbers to interpolate rational functions in multi-loop particle calculations, outperforming finite-field-based techniques in both required samples and result size., ",,"['p-adic interpolation', 'rational functions', 'multi-loop calculations', 'compact form']",2,Oral
2024-03-13,07:15:00 PM,,Ahead-of-time (AOT) compilation of Tensorflow models for deployment,Talk on using AOT compilation to improve memory usage and performance of TensorFlow models for deployment in particle physics applications,CMS,"['TensorFlow', 'AOT compilation', 'Particle physics', 'Machine learning', 'CMS experiment']",2,Poster
,,Lecture Hall 1,Generalized Parton Distribution Functions via Quantum Computing,"Quantum simulation of QCD in 2+1D to compute GPDs for hadrons, specifically $ho^0$ meson and quark-diquark baryon model, in terms of harmonic resolution K blocks for light-front quantization in a Hamiltonian formulation",,"['Quantum Field Theories', 'Quantum Simulation', 'Light-Front Formulation', 'Relativistic Field Theories', 'Quantum Computing']",1,Oral
2024-03-13,08:30:00 PM,Theatre,Optimizing the ATLAS Geant4 detector simulation,"Enhancements to Geant4 simulation for ATLAS experiment, improving efficiency by 100%+ since Run 2",ATLAS,"['Geant4', 'detector simulation', 'Electromagnetic Calorimeter', 'Woodcock tracking', 'Optimization']",3,Oral
2024-03-14,07:10:00 PM,,Is Quantum Computing energy efficient? An Investigation on a quantum annealer.,Comparative analysis of energy efficiency between classical and quantum computing using D-Wave quantum annealer and traditional HPC technologies on selected benchmarks,,"['Quantum Computing', 'Energy Efficiency', 'Classical Computing', 'D-Wave Quantum Annealer', 'HPC Technologies', 'Benchmarks']",1,Poster
2024-03-13,05:50:00 PM,Lecture Hall 1,A fresh look at the nested soft-collinear subtraction scheme: NNLO QCD corrections to N-gluon final states in quark-anti-quark annihilation,"Computes NNLO QCD corrections for gluon jets in quark-anti-quark annihilation using nested subtraction scheme and identifies NLO-like terms for any partonic process, cancelling singularities at NNLO QCD in cross-sections for arbitrary gluon numbers in final state",,"['QCD', 'soft-collinear subtraction', 'infrared cancellation', 'cross section', 'partonic process', 'annihilation', 'gluons']",2,Oral
2024-03-12,03:30:00 PM,Lecture Hall 1,Fast and Precise Amplitude Surrogates with Bayesian and Symmetry Preserving Networks,Implementation of permutation invariance and symmetries for predicting amplitudes in particle interactions using Bayesian networks,,"['Deep Learning', 'Permutation Invariance', 'Symmetry Preserving Networks', 'Bayesian Networks', 'Amplitudes', 'Particle Interactions', 'LO and NLO']",2,Oral
2024-03-14,07:50:00 PM,Theatre,FASER Tracking and Emulsion Station Alignment,Update on alignment of FASER's tracking stations and emulsion detector for neutrino analyses using 2022 data,FASER,"['FASER', 'tracking stations', 'emulsion detector', 'alignment', 'neutrino', 'ATLAS', 'LHC']",2,Oral
2024-03-13,08:50:00 PM,Theatre,"""Accelerating Particle Physics Simulations with Machine Learning using Normalizing Flows and Flow Matching""","Utilizes machine learning, specifically Normalizing Flows, to speed up and improve accuracy of high-energy physics simulations. Discuses oversampling for uncertainty reduction. Short list of keywords associated with the abstract: ['Machine Learning', 'Normalizing Flows', 'Simulation', 'HEP']. 'high': Given my interest in Machine Learning and AI for particle physics, this talk is highly interesting. It pertains directly to the development of analysis frameworks using ML, which aligns well with my interest in improving current methodologies for HEP simulation analysis and meets several of the other topics I am keen on such as Data Analysis techniques and Distributed computing for analysis, though the talk doesn't directly address distributed computing approaches or FAIR data principles. Nonetheless, the proposed approach for direct generation of final data could potentially make use of these topics.",Not specified,"['Machine Learning', 'Normalizing Flows', 'Simulation', 'HEP']",3,Oral
2024-03-11,06:30:00 PM,Lecture Hall 1,Real-time error mitigation for variational optimization on quantum hardware,Real-time error mitigation algorithm for quantum variational models using Importance Clifford Sampling,,"['Quantum Computing', 'Quantum error mitigation', 'Variational model', 'Gradient-based optimization', 'Importance Clifford Sampling']",1,Oral
