Date,Time,Room,Title,Summary,Url,Experiment,Keywords,Interest,Type,Confidence,Unknown Terms
2024-03-13,11:50:00,Lecture Hall 1,Rational-function interpolation from p-adic evaluations in scattering amplitude calculations,"The talk discusses new p-adic interpolation techniques for rational functions in multi-loop scattering amplitude calculations, improving efficiency significantly.",https://indico.cern.ch/event/1330797/contributions/5861154/,,"['computer algebra', 'scattering amplitudes', 'p-adic numbers', 'interpolation techniques']",1,Oral,0.7,[]
2024-03-15,05:45:00,Theatre,Quantum algorithms for the simulation of QCD processes in the perturbative regime,Quantum algorithms for simulating QCD processes in the perturbative regime are discussed.,https://indico.cern.ch/event/1330797/contributions/5776130/,,"['quantum algorithms', 'QCD', 'perturbative regime']",1,Plenary,0.8,[]
2024-03-15,06:55:00,Theatre,Best poster 3rd place:  Introduction of dynamic job matching optimization for Grid middleware using Site Sonar infrastructure monitoring,Not given,https://indico.cern.ch/event/1330797/contributions/5863285/,,"['Grid middleware', 'dynamic job matching', 'infrastructure monitoring']",1,,0.2,[]
2024-03-15,06:50:00,Theatre,"Best poster 2nd place: columnflow: Fully automated analysis through flow of columns over arbitrary, distributed resources",Best poster award presentation focusing on automated analysis using distributed resources.,https://indico.cern.ch/event/1330797/contributions/5863284/,,"['automated analysis', 'distributed resources', 'columnar analysis']",2,,0.6,[]
2024-03-15,06:45:00,Theatre,Best poster 1st place: Interface to Unity for High Energy Physics detector visualization,Not given,https://indico.cern.ch/event/1330797/contributions/5863283/,,"['detector visualization', 'Unity', 'high energy physics']",1,,0.3,[]
2024-03-13,08:30:00,Theatre,"Computing the wave: Where the Gravitational Wave Community benefits from HEP, and where it differs?","Computing the wave: Where the Gravitational Wave Community benefits from HEP, and where it differs?",https://indico.cern.ch/event/1330797/contributions/5778899/,,[],1,Plenary,0.2,[]
2024-03-13,12:15:00,,Ahead-of-time (AOT) compilation of Tensorflow models for deployment,"The talk discusses a novel approach for deploying TensorFlow models in particle physics, focusing on Ahead-of-time compilation to reduce memory usage and improve performance.",https://indico.cern.ch/event/1330797/contributions/5796637/,CMS,"['Machine Learning', 'TensorFlow', 'AOT Compilation', 'Data Analysis']",2,Poster,0.7,[]
,,Lecture Hall 1,Generalized Parton Distribution Functions via Quantum Computing,The presentation discusses quantum simulation algorithms for studying generalized parton distribution functions in quantum field theories using a light-front formulation.,https://indico.cern.ch/event/1330797/contributions/5792183/,,"['quantum computing', 'parton distribution functions', 'QCD', 'light-front formulation']",1,Oral,0.8,[]
2024-03-11,05:00:00,Theatre,Welcome to ACAT 2024 in Stony Brook,Welcome to ACAT 2024 in Stony Brook,https://indico.cern.ch/event/1330797/contributions/5776094/,,[],1,Plenary,0.1,[]
2024-03-13,13:30:00,Theatre,Optimizing the ATLAS Geant4 detector simulation,"The presentation focuses on optimizing Geant4 simulations for the ATLAS detector, highlighting performance improvements and new implementations for enhanced computational efficiency.",https://indico.cern.ch/event/1330797/contributions/5801194/,ATLAS,"['Geant4', 'simulation', 'Monte Carlo', 'computational performance', 'ATLAS']",1,Oral,0.7,[]
2024-03-14,12:10:00,,Is Quantum Computing energy efficient? An Investigation on a quantum annealer.,"The study investigates the energy efficiency of quantum computing by comparing traditional HPC with a quantum annealer, addressing its environmental impact.",https://indico.cern.ch/event/1330797/contributions/5796501/,,"['quantum computing', 'energy efficiency', 'HPC', 'quantum annealer']",1,Poster,0.9,[]
2024-03-11,08:20:00,Theatre,Q&A Panel,Q&A Panel,https://indico.cern.ch/event/1330797/contributions/5776101/,,[],1,Plenary,0.2,[]
2024-03-13,10:50:00,Lecture Hall 1,A fresh look at the nested soft-collinear subtraction scheme: NNLO QCD corrections to N-gluon final states in quark-anti-quark annihilation,"This talk discusses NNLO QCD corrections for gluonic jets in quark-anti-quark annihilation, focusing on a subtraction scheme to handle infrared singularities.",https://indico.cern.ch/event/1330797/contributions/5814774/,,"['NNLO QCD', 'gluon jets', 'quark-anti-quark annihilation', 'infrared subtraction']",1,Oral,0.7,[]
2024-03-11,05:15:00,Theatre,Welcome address by SBU,Welcome address by SBU.,https://indico.cern.ch/event/1330797/contributions/5778699/,,[],1,Plenary,0.2,[]
2024-03-15,08:10:00,Theatre,Track 3 Summary,Not given,https://indico.cern.ch/event/1330797/contributions/5776145/,,[],1,Plenary,0.1,[]
2024-03-15,07:50:00,Theatre,Track 2 Summary,Track 2 Summary,https://indico.cern.ch/event/1330797/contributions/5776144/,,[],1,Plenary,0.1,[]
,,Theatre,Updates from the organizers,Not provided,https://indico.cern.ch/event/1330797/contributions/5776141/,,[],1,Plenary,0.2,[]
,,Theatre,Updates from the organizers,Not provided,https://indico.cern.ch/event/1330797/contributions/5776137/,,[],1,Plenary,0.2,[]
2024-03-13,05:00:00,Theatre,Updates from the organizers,Not provided,https://indico.cern.ch/event/1330797/contributions/5776129/,,[],1,Plenary,0.2,[]
2024-03-12,05:00:00,Theatre,Updates from the organizers,Not provided,https://indico.cern.ch/event/1330797/contributions/5776119/,,[],1,Plenary,0.2,[]
2024-03-13,07:30:00,Theatre,Quantum computers for particle theory,Quantum computers for particle theory,https://indico.cern.ch/event/1330797/contributions/5776116/,,"['Quantum Computing', 'Particle Theory']",1,Plenary,0.9,[]
2024-03-12,08:30:00,Lecture Hall 1,Fast and Precise Amplitude Surrogates with Bayesian and Symmetry Preserving Networks,"The work presents a deep learning framework to predict amplitudes from phase space by incorporating permutation invariance and Lorentz equivariance, enhancing accuracy for multiple QCD jets.",https://indico.cern.ch/event/1330797/contributions/5792185/,,"['machine learning', 'deep learning', 'amplitude prediction', 'Bayesian networks', 'QCD']",2,Oral,0.6,[]
