Date,Time,Room,Title,Summary,Experiment,Keywords,Interest,Type
2024-03-13,11:50:00 AM,Lecture Hall 1,Rational-function interpolation from p-adic evaluations in scattering amplitude calculations,"The talk discusses new p-adic interpolation techniques for rational functions in multi-loop scattering amplitude calculations, improving efficiency significantly.",,"['p-adic numbers', 'scattering amplitudes', 'interpolation techniques', 'computer algebra']",1,Oral
2024-03-13,12:15:00 PM,,Ahead-of-time (AOT) compilation of Tensorflow models for deployment,"The presentation discusses a novel inference approach for TensorFlow models in high-energy physics, focusing on AOT compilation to reduce memory usage and improve performance.",CMS,"['Machine Learning', 'TensorFlow', 'AOT Compilation', 'High-Energy Physics', 'Data Analysis']",2,Poster
,,Lecture Hall 1,Generalized Parton Distribution Functions via Quantum Computing,The work discusses quantum simulation algorithms for investigating generalized parton distribution functions in quantum field theories using light-front formulation.,,"['Quantum Simulation', 'Parton Distribution Functions', 'Quantum Field Theories', 'QCD', 'Light-Front Formulation']",1,Oral
2024-03-13,01:30:00 PM,Theatre,Optimizing the ATLAS Geant4 detector simulation,"The talk discusses improvements made to the Geant4 detector simulation in ATLAS, focusing on performance optimizations and resource efficiency for future data campaigns.",ATLAS,"['Geant4', 'detector simulation', 'Monte Carlo', 'performance optimization', 'HL-LHC']",1,Oral
2024-03-14,12:10:00 PM,,Is Quantum Computing energy efficient? An Investigation on a quantum annealer.,"The work investigates the energy efficiency of quantum computing compared to classical computing, focusing on quantum annealers and traditional HPC technologies.",,"['Quantum Computing', 'Energy Efficiency', 'Quantum Annealer', 'HPC']",1,Poster
2024-03-13,10:50:00 AM,Lecture Hall 1,A fresh look at the nested soft-collinear subtraction scheme: NNLO QCD corrections to N-gluon final states in quark-anti-quark annihilation,The talk discusses the nested soft-collinear subtraction scheme for NNLO QCD corrections in quark-anti-quark annihilation and its application to gluonic jet production.,,"['NNLO QCD', 'gluon jets', 'quark-anti-quark annihilation', 'infrared subtraction']",1,Oral
2024-03-12,08:30:00 AM,Lecture Hall 1,Fast and Precise Amplitude Surrogates with Bayesian and Symmetry Preserving Networks,The presentation discusses a deep learning framework that addresses challenges in predicting amplitudes for particle interactions using symmetries and Bayesian networks.,,"['machine learning', 'deep learning', 'Bayesian networks', 'amplitude predictions', 'symmetry']",2,Oral
2024-03-14,12:50:00 PM,Theatre,FASER Tracking and Emulsion Station Alignment,The talk discusses the alignment procedures for FASER's tracking stations and presents results from the 2022 collision data.,FASER,"['tracking', 'alignment', 'neutrinos', 'silicon detectors']",1,Oral
2024-03-13,01:50:00 PM,Theatre,"""Accelerating Particle Physics Simulations with Machine Learning using Normalizing Flows and Flow Matching""","The talk discusses using Normalizing Flows and Flow Matching in machine learning to enhance particle physics simulations, achieving significant speed-ups and accuracy.",,"['Machine Learning', 'Normalizing Flows', 'Particle Physics Simulation', 'Data Analysis']",3,Oral
2024-03-11,11:30:00 AM,Lecture Hall 1,Real-time error mitigation for variational optimization on quantum hardware,"The presentation discusses a quantum error mitigation algorithm for optimizing variational models, addressing noise in quantum hardware during machine learning tasks.",,"['quantum computing', 'error mitigation', 'variational optimization', 'machine learning']",1,Oral
