Date,Time,Room,Title,Summary,Url,Experiment,Keywords,Interest,Type,Confidence,Unknown Terms
2024-03-13,11:50:00,Lecture Hall 1,Rational-function interpolation from p-adic evaluations in scattering amplitude calculations,Explores p-adic interpolation techniques for efficient calculation of multi-loop scattering amplitudes.,https://indico.cern.ch/event/1330797/contributions/5861154/,,"['p-adic numbers', 'scattering amplitudes', 'interpolation', 'rational functions']",1,Oral,0.9,['p-adic numbers']
2024-03-15,05:45:00,Theatre,Quantum algorithms for the simulation of QCD processes in the perturbative regime,Quantum algorithms for the simulation of QCD processes in the perturbative regime,https://indico.cern.ch/event/1330797/contributions/5776130/,,"['Quantum Computing', 'QCD', 'Perturbative Regime']",1,Plenary,0.9,[]
2024-03-15,06:55:00,Theatre,Best poster 3rd place:  Introduction of dynamic job matching optimization for Grid middleware using Site Sonar infrastructure monitoring,Best poster 3rd place: Introduction of dynamic job matching optimization for Grid middleware using Site Sonar infrastructure monitoring,https://indico.cern.ch/event/1330797/contributions/5863285/,,"['Grid middleware', 'Site Sonar', 'infrastructure monitoring']",2,,0.7,[]
2024-03-15,06:50:00,Theatre,"Best poster 2nd place: columnflow: Fully automated analysis through flow of columns over arbitrary, distributed resources","Best poster 2nd place: columnflow: Fully automated analysis through flow of columns over arbitrary, distributed resources",https://indico.cern.ch/event/1330797/contributions/5863284/,,"['columnar analysis', 'distributed computing', 'automation']",3,,0.9,[]
2024-03-15,06:45:00,Theatre,Best poster 1st place: Interface to Unity for High Energy Physics detector visualization,Interface to Unity for High Energy Physics detector visualization,https://indico.cern.ch/event/1330797/contributions/5863283/,,"['detector visualization', 'Unity', 'interface']",1,,0.9,[]
2024-03-13,08:30:00,Theatre,"Computing the wave: Where the Gravitational Wave Community benefits from HEP, and where it differs?","Computing the wave: Where the Gravitational Wave Community benefits from HEP, and where it differs?",https://indico.cern.ch/event/1330797/contributions/5778899/,,"['Gravitational Waves', 'High Energy Physics', 'Computing']",1,Plenary,0.8,[]
2024-03-13,12:15:00,,Ahead-of-time (AOT) compilation of Tensorflow models for deployment,A novel inference approach for TensorFlow models using AOT compilation to reduce memory and improve performance is presented.,https://indico.cern.ch/event/1330797/contributions/5796637/,CMS,"['Machine Learning', 'TensorFlow', 'AOT Compilation', 'CMS', 'Inference', 'Deployment']",3,Poster,0.9,[]
,,Lecture Hall 1,Generalized Parton Distribution Functions via Quantum Computing,Quantum simulation algorithms based on light-front formulation to study generalized parton distribution functions in QCD.,https://indico.cern.ch/event/1330797/contributions/5792183/,,"['Quantum Computing', 'QCD', 'Parton Distribution Functions']",1,Oral,0.95,[]
2024-03-11,05:00:00,Theatre,Welcome to ACAT 2024 in Stony Brook,Welcome to ACAT 2024 in Stony Brook,https://indico.cern.ch/event/1330797/contributions/5776094/,,[],1,Plenary,0.5,[]
2024-03-13,13:30:00,Theatre,Optimizing the ATLAS Geant4 detector simulation,"Discusses optimizations in ATLAS's Geant4 simulation, focusing on computational performance improvements.",https://indico.cern.ch/event/1330797/contributions/5801194/,ATLAS,"['Geant4', 'ATLAS', 'simulation', 'computing resources', 'HL-LHC']",1,Oral,0.9,['Woodcock tracking']
