Date,Time,Room,Title,Summary,Experiment,Keywords,Interest,Type
2024-03-13,11:50:00 AM,Lecture Hall 1,Rational-function interpolation from p-adic evaluations in scattering amplitude calculations,"This talk discusses new techniques using p-adic numbers for interpolating rational functions in multi-loop scattering amplitude calculations, achieving significant efficiency improvements.",,"['p-adic numbers', 'scattering amplitudes', 'interpolation', 'multi-loop calculations', 'computer algebra']",1,Oral
2024-03-13,12:15:00 PM,,Ahead-of-time (AOT) compilation of Tensorflow models for deployment,The talk presents a novel inference approach using Ahead-of-time (AOT) compilation for TensorFlow models to reduce memory footprint and improve computational performance in CMS workflows.,CMS,"['Machine Learning', 'TensorFlow', 'Ahead-of-time Compilation', 'High-Energy Physics', 'Data Analysis']",3,Poster
,,Lecture Hall 1,Generalized Parton Distribution Functions via Quantum Computing,"This talk explores quantum simulation algorithms for quantum field theories, specifically focusing on generalized parton distribution functions for hadrons using a light-front formulation.",,"['quantum computing', 'parton distribution functions', 'QCD', 'light-front formulation', 'quark-diquark model']",1,Oral
2024-03-13,01:30:00 PM,Theatre,Optimizing the ATLAS Geant4 detector simulation,"The ATLAS experiment's Geant4 detector simulation improvements for Run 3, including Woodcock tracking and various optimizations, resulting in a significant increase in throughput.",ATLAS,"['Geant4', 'detector simulation', 'optimization', 'computing resources']",2,Oral
2024-03-14,12:10:00 PM,,Is Quantum Computing energy efficient? An Investigation on a quantum annealer.,The study compares energy efficiency between classical HPC technologies and the D-Wave Advantage quantum annealer using benchmark activities.,,"['quantum computing', 'energy efficiency', 'HPC', 'quantum annealer']",1,Poster
2024-03-13,10:50:00 AM,Lecture Hall 1,A fresh look at the nested soft-collinear subtraction scheme: NNLO QCD corrections to N-gluon final states in quark-anti-quark annihilation,"Utilizes the nested soft-collinear subtraction scheme to compute NNLO QCD corrections for quark-anti-quark annihilation into multiple gluon jets, showcasing the cancellation of singularities.",,"['NNLO QCD', 'gluon jets', 'infrared subtraction', 'quark-anti-quark annihilation']",1,Oral
2024-03-12,08:30:00 AM,Lecture Hall 1,Fast and Precise Amplitude Surrogates with Bayesian and Symmetry Preserving Networks,"A deep learning framework using permutation invariance and Lorentz equivariance to predict amplitudes from phase space points, incorporating Bayesian networks for uncertainty optimization.",,"['deep learning', 'permutation invariance', 'Lorentz equivariance', 'Bayesian networks', 'QCD jets']",2,Oral
2024-03-14,12:50:00 PM,Theatre,FASER Tracking and Emulsion Station Alignment,"Presentation on the alignment of FASER's tracking and emulsion stations using 2022 collision data, including the tracking spectrometer and InterFace Tracker (IFT).",FASER,"['FASER', 'tracker alignment', 'emulsion detector', 'Run3', 'LHC']",1,Oral
2024-03-13,01:50:00 PM,Theatre,"""Accelerating Particle Physics Simulations with Machine Learning using Normalizing Flows and Flow Matching""","Using Normalizing Flows and Flow Matching to accelerate simulations of high-energy physics collision events, achieving faster and accurate predictions compared to traditional methods.",,"['Machine Learning', 'Simulations', 'Normalizing Flows', 'Flow Matching', 'High-Energy Physics']",3,Oral
2024-03-11,11:30:00 AM,Lecture Hall 1,Real-time error mitigation for variational optimization on quantum hardware,"Real-time error mitigation for quantum variational models using Importance Clifford Sampling to manage noise in gradient-based optimization, with applications to training noisy quantum circuits.",,"['quantum computing', 'error mitigation', 'variational optimization', 'Importance Clifford Sampling']",1,Oral
2024-03-11,11:10:00 AM,Lecture Hall 1,QUnfold: Quantum Annealing for Distributions Unfolding in High-Energy Physics,"This work introduces QUnfold, a Python module for unfolding distorted distributions in HEP using quantum annealing, validated on simulated LHC data.",LHC,"['Unfolding', 'Quantum Annealing', 'Python', 'High-Energy Physics', 'Detector Simulation']",1,Oral
2024-03-11,10:50:00 AM,Lecture Hall 1,quantum GAN for fast shower simulation,"This study explores the use of quantum GANs for fast shower simulation in high-energy physics, focusing on downsampled calorimeter shower shapes and performance on quantum hardware.",ATLAS,"['quantum computing', 'GAN', 'fast simulation', 'calorimeter', 'shower shapes']",1,Oral
2024-03-11,10:30:00 AM,Lecture Hall 1,Quantum simulation with just-in-time compilation,"Explores just-in-time compilation for quantum simulation on CPUs and GPUs, introducing the 	exttt{qibojit} module for the 	exttt{Qibo} framework, and benchmarking its performance.",,"['quantum simulation', 'JIT compilation', 'Qibo', 'quantum computing', 'tensor networks', 'performance benchmarks']",1,Oral
2024-03-11,01:30:00 PM,Lecture Hall 1,Towards an open-source hybrid quantum operating system,"Presentation of Qibo, an open-source framework for quantum computing, including Qibolab and Qibocal libraries for executing and calibrating quantum hardware.",,"['quantum computing', 'Qibo', 'Qibolab', 'Qibocal', 'NISQ devices']",1,Oral
2024-03-11,01:10:00 PM,Lecture Hall 1,Quantum-centric Supercomputing for Physics Research,The talk discusses the integration of quantum computational devices with high-performance computing resources to solve intractable problems in physics research.,,"['quantum computing', 'high performance computing', 'QCSC', 'theoretical physics', 'experimental physics']",1,Oral
2024-03-11,12:50:00 PM,Lecture Hall 1,Advancing Image Classification using Intel SDK: Integrating NAQSS Encoding with Hybrid Quantum-Classical PQC Models,The work explores using Normal Arbitrary Quantum Superposition State (NAQSS) for encoding images into quantum circuits and improving classification accuracy with hybrid quantum-classical models.,,"['Quantum Computing', 'Image Classification', 'Quantum Machine Learning', 'Intel Quantum SDK']",1,Oral
