Date,Time,Room,Title,Summary,Experiment,Keywords,Interest,Type,Confidence,Unknown Terms
2024-06-07,01:50:00 PM,Blackman Auditorium,Experimental summary of conference (30'),"The abstract is not provided, limiting the ability to evaluate the content or relevance to specific interests.",,[],1,,0.1,[]
2024-06-07,11:18:00 AM,,"Reconstruction, identification, and calibration of electrons and photons at ATLAS and CMS -- CANCELLED",The talk focuses on techniques for reconstructing and identifying electrons and photons in prominent experiments.,"ATLAS, CMS","['electron identification', 'photon calibration', 'reconstruction techniques']",1,,0.8,[]
,,,Heavy-flavor production and hadronization in pp collisions: theory  status and perspectives,The presentation discusses theoretical perspectives on heavy-quark production and hadronization in proton-proton collisions.,,"['heavy-flavor', 'hadronization', 'pp collisions', 'theory']",1,,0.7,[]
,,,Global fits of the Unitarity Triangle within and beyond the Standard   Model. Updates from the UTfit collaboration,"The presentation discusses global fits of the Unitarity Triangle, focusing on updates from the UTfit collaboration, which relates to flavor physics and CP violation.",,"['Unitary Triangle', 'Standard Model', 'UTfit', 'flavor physics', 'CP violation']",1,,0.7,[]
2024-06-06,11:54:00 AM,,Data preservation and reinterpretation at the LHC,The abstract discusses the importance of data preservation and reinterpretation methods at the LHC.,LHC,"['data preservation', 'reinterpretation', 'LHC']",3,,0.8,[]
2024-06-04,12:12:00 PM,,Searches for VLLs in ATLAS,The presentation discusses searches for vector-like leptons (VLLs) using data from the ATLAS experiment.,ATLAS,"['vector-like leptons', 'ATLAS', 'searches']",1,,0.5,[]
2024-06-06,11:54:00 AM,,Exotic Higgs Decays with ATLAS,"The abstract discusses exotic Higgs decays, specifically decay modes involving additional particles leading to multi-lepton final states.",ATLAS,"['Higgs', 'exotic decays', 'ATLAS', 'particle physics']",1,,0.7,[]
2024-06-04,11:54:00 AM,,Searches for VLLs in CMS,"The presentation focuses on searches for vector-like leptons (VLLs) at the CMS experiment, discussing the methodologies and results of these searches.",CMS,"['Vector-like leptons', 'CMS', 'searches', 'particle physics']",2,,0.6,[]
2024-06-04,11:36:00 AM,,Searches for VLQs in ATLAS,The presentation likely discusses searches for vector-like quarks (VLQs) using the ATLAS detector at the LHC.,ATLAS,"['VLQ', 'ATLAS', 'LHC', 'particle physics']",1,,0.7,[]
2024-06-06,11:36:00 AM,,Searches for New Massive Scalars in CMS,"The presentation discusses searches for new massive scalar particles, including charged Higgs and CP states, at TeV scales in the CMS experiment.",CMS,"['massive scalars', 'charged Higgs', 'CP-even', 'CP-odd', 'TeV-scale']",1,,0.7,[]
2024-06-04,11:18:00 AM,,Searches for VLQs in CMS,The presentation likely discusses searches for vector-like quarks (VLQs) at the CMS experiment.,CMS,"['VLQs', 'CMS', 'searches', 'particle physics']",1,,0.3,[]
2024-06-06,11:18:00 AM,,Searches for New Massive Scalars in ATLAS,"The presentation discusses searches for new massive scalar particles in the TeV mass range, including charged Higgs and CP-even/odd states.",ATLAS,"['massive scalars', 'charged Higgs', 'CP-even', 'CP-odd']",1,,0.7,[]
2024-06-04,08:18:00 AM,,Leptoquark Searches with 3rd Generation Final States in ATLAS,The talk focuses on searches for leptoquarks using third generation final states in the ATLAS experiment.,ATLAS,"['leptoquarks', 'third generation', 'ATLAS', 'particle searches']",1,,0.5,[]
2024-06-04,11:00:00 AM,,Vector-Like Quarks and Leptons,"The talk likely discusses theoretical aspects of vector-like quarks and leptons, which are not directly aligned with my interests.",,"['vector-like quarks', 'vector-like leptons', 'theoretical physics']",1,,0.6,[]
2024-06-06,11:00:00 AM,,Higgs Probes of BSM Physics,"The presentation likely discusses the role of the Higgs boson in probing beyond the Standard Model physics, focusing on new phenomena possibly revealed by Higgs interactions.",,"['Higgs boson', 'BSM physics', 'new physics']",2,,0.5,[]
2024-06-04,12:12:00 PM,,Performance overview of SND@LHC and Faser,The abstract does not provide any details about the presentation content or relevance.,,[],1,,0.1,[]
,,,A search for boosted light scalars decaying to two tau leptons in proton-proton collisions at sqrt(s)=13 TeV,The study presents a search for light scalars decaying to tau leptons using novel machine-learning techniques in 13 TeV proton-proton collisions.,CMS,"['light scalars', 'tau leptons', 'machine learning', 'LHC', 'Higgs boson']",1,,0.6,[]
,,,Boosted Higgs boson production in association with a vector boson with the CMS experiment,"The study investigates boosted Higgs boson production with vector bosons at the LHC, focusing on decay channels and machine learning techniques for analysis.",CMS,"['Higgs boson', 'vector boson', 'LHC', 'machine learning', 'jet substructure']",1,,0.7,[]
,,,Search for boosted Higgs using the Full Run2 data set at CMS,The presentation discusses a search for the Higgs boson with high transverse momentum using data from the CMS experiment.,CMS,"['Higgs boson', 'transverse momentum', 'proton-proton collisions', 'LHC', 'Run2 data']",1,,0.8,[]
,,,Search for non-resonant Higgs boson pair production in the 2b+2l+ETmiss final state in pp collisions at 13 TeV with the ATLAS detector,"This presentation details a search for non-resonant Higgs boson pair production using data from the ATLAS detector, focusing on specific decay channels and event classification methods.",ATLAS,"['Higgs boson', 'pair production', 'b-quark', 'multivariate analysis', 'LHC']",1,,0.7,[]
,,,Probing anomalous Higgs boson couplings with Vector Boson Scattering Processes,This work measures anomalous Higgs boson couplings in Vector Boson Scattering using proton-proton collision data from the LHC.,LHC,"['Higgs boson', 'Vector Boson Scattering', 'anomalous couplings', 'proton-proton collisions']",1,,0.7,[]
,,,Searches for lepton-flavour-violating decays of the Higgs boson into e-tau and mu-tau in sqrt(s)=13 TeV pp collisions with the ATLAS detector,"The talk discusses a search for lepton-flavour-violating decays of the Higgs boson with results from the ATLAS detector, including background estimation techniques and branching ratios.",ATLAS,"['Higgs boson', 'lepton-flavour violation', 'tau leptons', 'branching ratios', 'background estimation']",1,,0.6,[]
,,,Probing quantum entanglement using H->ZZ at the ATLAS experimen,This study investigates quantum entanglement in the HZZ* interaction using quantum tomography and Monte Carlo simulation data.,ATLAS,"['quantum entanglement', 'HZZ interaction', 'quantum tomography', 'spin density matrix', 'Monte Carlo simulations']",1,,0.7,[]
