Date,Time,Room,Title,Summary,Url,Experiment,Keywords,Interest,Type,Confidence,Unknown Terms
2024-10-24,08:45:00,Large Hall A,Jet Discrimination with Quantum Complete Graph Neural Network,"The paper presents a quantum machine learning model, the Quantum Complete Graph Neural Network, for jet discrimination using complete graphs, showcasing its advantages over classical methods.",https://indico.cern.ch/event/1338689/contributions/6016181/,,"['machine learning', 'quantum computing', 'graph neural networks', 'jet discrimination']",1,Talk,0.6,[]
2024-10-24,07:00:00,Room 4,Label-based virtual directories in the dCache storage system,"The dCache storage system introduces virtual directories via file tagging, enhancing data organization and management for scientific data.",https://indico.cern.ch/event/1338689/contributions/6010890/,,"['dCache', 'file tagging', 'data management', 'virtual directories', 'metadata extraction']",1,Poster,0.6,[]
2024-10-23,07:00:00,Room 4,Object storage model for CMS data,The presentation discusses a new data management model for CMS that improves data access by breaking files into individual event data product objects.,https://indico.cern.ch/event/1338689/contributions/6010866/,CMS,"['data management', 'event data products', 'storage savings']",1,Poster,0.7,[]
2024-10-24,05:42:00,Room 1.B (Medium Hall B),Impact of RNTuple on storage resources for ATLAS production,"The abstract discusses the development and performance of the RNTuple I/O format for ATLAS, focusing on its efficiency in storage and data processing for future experiments.",https://indico.cern.ch/event/1338689/contributions/6010824/,ATLAS,"['RNTuple', 'I/O format', 'ATLAS', 'HL-LHC', 'data processing', 'storage efficiency']",2,Talk,0.6,[]
2024-10-24,07:15:00,Room 2.B (Conference Room),Integration of A Supercomputing Center in LHAASO Distributed Computing System,The LHAASO experiment integrates a supercomputing center into its distributed computing system to handle large data volumes efficiently.,https://indico.cern.ch/event/1338689/contributions/6011016/,LHAASO,"['distributed computing', 'supercomputing', 'data transfer', 'job scheduling', 'cosmic rays']",1,Talk,0.6,[]
2024-10-24,08:27:00,Large Hall A,Jet reconstruction with quantum-annealing-inspired algorithms,This study explores jet reconstruction at high energy colliders using quantum-annealing-inspired algorithms to optimize the clustering of particles efficiently.,https://indico.cern.ch/event/1338689/contributions/6015942/,,"['jet reconstruction', 'quantum-annealing', 'optimization', 'high energy colliders']",1,Talk,0.7,[]
2024-10-21,07:00:00,Ground floor lobby,Computing and machine learning for the SHiP experiment,"The SHiP experiment aims to explore new physics, utilizing a software framework and machine learning for detector design and anomaly detection.",https://indico.cern.ch/event/1338689/contributions/6010531/,SHiP,"['machine learning', 'software framework', 'anomaly detection', 'new physics', 'dark matter']",2,Poster,0.7,[]
2024-10-21,00:30:00,Large Hall,The 200 Gbps Challenge: Imagining HL-LHC analysis facilities,"The IRIS-HEP software institute is developing scalable analysis tools for HL-LHC, focusing on a 200 Gbps Challenge to process large data rates across multiple analysis pipelines.",https://indico.cern.ch/event/1338689/contributions/6009824/,"CMS, ATLAS","['HL-LHC', 'data analysis', 'scalable infrastructure', 'event processing', 'data management']",3,Talk,0.9,[]
2024-10-22,07:15:00,Room 1.C (Small Hall),Downstream tracking and vertexing at the first stage of the LHCb trigger,"A new algorithm for real-time reconstruction of displaced vertices at LHCb, utilizing GPUs and neural networks to enhance efficiency for detecting long-lived particles.",https://indico.cern.ch/event/1338689/contributions/6015405/,LHCb,"['displaced vertices', 'real-time tracking', 'neural networks', 'long-lived particles', 'GPU computing']",3,Talk,0.9,[]
2024-10-24,02:00:00,Large Hall,Serving Photon Science and HEP at the same facility,"DESY has shifted from HEP to support Photon Science, redesigning accelerators and adapting computing for diverse user groups with varied expertise.",https://indico.cern.ch/event/1338689/contributions/6080339/,,"['Photon Science', 'HEP', 'data management', 'computing', 'user facilities']",1,Talk,0.4,[]
2024-10-21,06:57:00,Ground floor lobby,A Geometry Agnostic Heterogenous Framework for Track Reconstruction for HEP Experiments,"The work presents a new software framework for track reconstruction in HEP experiments on heterogeneous architectures, addressing challenges from high luminosity and pileup.",https://indico.cern.ch/event/1338689/contributions/6010030/,"ATLAS, CMS","['track reconstruction', 'heterogeneous computing', 'HL-LHC', 'software framework']",2,Poster,0.6,[]
2024-10-21,07:00:00,Ground floor lobby,Unsupervised Learning Techniques for Identification of Anomalous LZ Data,"This work discusses unsupervised machine learning methods for anomaly detection in the LZ dark matter experiment, focusing on dimensionality reduction of PMT waveforms.",https://indico.cern.ch/event/1338689/contributions/6010588/,LUX-ZEPLIN,"['unsupervised learning', 'anomaly detection', 'dark matter', 'LZ experiment', 'dimensionality reduction']",2,Poster,0.6,[]
2024-10-25,03:00:00,Large Hall,Wrap-up,Wrap-up,https://indico.cern.ch/event/1338689/contributions/6182322/,,[],1,,0.1,[]
2024-10-25,02:45:00,Large Hall,Poster awards,Poster awards,https://indico.cern.ch/event/1338689/contributions/6182321/,,[],1,,0.1,[]
2024-10-25,02:30:00,Large Hall,Track 9 summary: Analysis facilities and interactive computing,Not given,https://indico.cern.ch/event/1338689/contributions/6182311/,,"['analysis facilities', 'interactive computing']",1,,0.2,[]
2024-10-25,02:15:00,Large Hall,"Track 8 summary: Collaboration, Reinterpretation, Outreach and Education",Not given,https://indico.cern.ch/event/1338689/contributions/6182307/,,[],1,,0.2,[]
2024-10-25,02:00:00,Large Hall,Track 7 summary: Computing Infrastructure,Not given,https://indico.cern.ch/event/1338689/contributions/6182306/,,[],1,,0.2,[]
2024-10-25,01:15:00,Large Hall,Track 6 summary: Collaborative software and maintainability,Track 6 summary: Collaborative software and maintainability,https://indico.cern.ch/event/1338689/contributions/6182302/,,"['software', 'maintainability', 'collaboration']",1,,0.2,[]
2024-10-25,01:00:00,Large Hall,Track 5 summary: Simulation and analysis tools,Not given,https://indico.cern.ch/event/1338689/contributions/6182301/,,[],1,,0.2,[]
2024-10-25,00:45:00,Large Hall,Track 4 summary: Distributed Computing,Track 4 summary: Distributed Computing,https://indico.cern.ch/event/1338689/contributions/6182300/,,"['Distributed Computing', 'Data Analysis']",2,,0.6,[]
2024-10-25,00:30:00,Large Hall,Track 3 summary: Offline Computing,Track 3 summary: Offline Computing,https://indico.cern.ch/event/1338689/contributions/6182299/,,['Offline Computing'],1,,0.2,[]
2024-10-25,00:15:00,Large Hall,Track 2 summary: Online and real-time computing,Track 2 summary: Online and real-time computing,https://indico.cern.ch/event/1338689/contributions/6182298/,,"['online computing', 'real-time computing']",1,,0.3,[]
2024-10-25,00:00:00,Large Hall,"Track 1 summary: Data and Metadata Organization, Management and Access","Data and Metadata Organization, Management and Access",https://indico.cern.ch/event/1338689/contributions/6182297/,,"['Data Management', 'Metadata', 'Data Organization']",1,,0.2,[]
2024-10-22,07:00:00,Room 4,Decode the Workload: Training Deep Learning Models for Efficient Compute Cluster Representation,The work involves training autoencoders and graph neural networks to monitor and analyze computational workloads in high throughput computing clusters.,https://indico.cern.ch/event/1338689/contributions/6011795/,,"['deep learning', 'autoencoders', 'anomaly detection', 'computing clusters', 'graph neural networks']",1,Poster,0.6,[]
2024-10-24,07:00:00,Room 4,ProtoDUNE-HD  Offline Data Processing Strategy,"The talk discusses the offline data processing strategy for the ProtoDUNE-HD detector, focusing on computing infrastructure and data management for the DUNE experiment.",https://indico.cern.ch/event/1338689/contributions/6010901/,DUNE,"['data processing', 'offline computing', 'data management', 'event reconstruction', 'HPC']",1,Poster,0.6,[]
2024-10-24,06:00:00,Room 2.A (Seminar Room),Moving a data center keeping availability at the top,The presentation outlines the process of relocating a data center while maintaining service availability and highlights the improved features of the new location.,https://indico.cern.ch/event/1338689/contributions/6011718/,,"['data center', 'availability', 'INFN-T1', 'relocation', 'services']",1,Talk,0.2,[]
2024-10-24,05:42:00,Room 2.A (Seminar Room),Latest developments of the PUNCH4NFDI compute and storage infrastructures,The PUNCH4NFDI consortium focuses on FAIR data management and federated compute/storage infrastructures for various physics communities.,https://indico.cern.ch/event/1338689/contributions/6011633/,,"['FAIR data management', 'compute infrastructure', 'storage infrastructure', 'HTCondor', 'REANA']",2,Talk,0.6,"['HTCondor', 'COBalD', 'TARDIS', 'MyToken', 'REANA']"
2024-10-24,05:24:00,Room 2.A (Seminar Room),Towards an Introspective Dynamic Model of Globally Distributed Computing Infrastructures,"The study develops a dynamic model for optimizing distributed computing in large scientific collaborations, focusing on data management and AI-driven solutions.",https://indico.cern.ch/event/1338689/contributions/6011610/,,"['distributed computing', 'data management', 'AI', 'PanDA', 'job execution', 'performance indicators']",2,Talk,0.6,[]
