Date,Time,Room,Title,Summary,Url,Experiment,Keywords,Interest,Type,Confidence,Unknown Terms
2024-10-24,17:45:00,Large Hall A,Jet Discrimination with Quantum Complete Graph Neural Network,Proposes a Quantum Complete Graph Neural Network for jet discrimination using quantum machine learning.,https://indico.cern.ch/event/1338689/contributions/6016181/,,"['machine learning', 'quantum computing', 'graph neural networks', 'jet discrimination']",1,Talk,0.8,"['Quantum Complete Graph Neural Network', 'quantum parallelism']"
2024-10-24,16:00:00,Room 4,Label-based virtual directories in the dCache storage system,Describes file tagging in dCache for dynamic grouping of files into virtual directories and future plans for metadata extraction.,https://indico.cern.ch/event/1338689/contributions/6010890/,,"['dCache', 'storage system', 'file tagging', 'virtual directories', 'metadata extraction']",2,Poster,0.8,[]
2024-10-23,16:00:00,Room 4,Object storage model for CMS data,Study of storage savings in CMS by using a novel data management model eliminating static data tiers.,https://indico.cern.ch/event/1338689/contributions/6010866/,CMS,"['data management', 'object storage', 'CMS', 'CRAB3']",2,Poster,0.8,[]
2024-10-24,14:42:00,Room 1.B (Medium Hall B),Impact of RNTuple on storage resources for ATLAS production,Explores RNTuple's impact on storage efficiency and computing resources for ATLAS data at HL-LHC.,https://indico.cern.ch/event/1338689/contributions/6010824/,ATLAS,"['RNTuple', 'storage', 'ATLAS', 'ROOT', 'HL-LHC', 'computing resources']",2,Talk,0.8,[]
2024-10-24,16:15:00,Room 2.B (Conference Room),Integration of A Supercomputing Center in LHAASO Distributed Computing System,Integration of supercomputing resources into LHAASO's distributed computing system for data processing.,https://indico.cern.ch/event/1338689/contributions/6011016/,LHAASO,"['supercomputing', 'distributed computing', 'HTCondor', 'data transfer']",2,Talk,0.8,[]
2024-10-24,17:27:00,Large Hall A,Jet reconstruction with quantum-annealing-inspired algorithms,Explores jet reconstruction using quantum-annealing-inspired algorithms for optimization in particle colliders.,https://indico.cern.ch/event/1338689/contributions/6015942/,,"['jet reconstruction', 'quantum annealing', 'optimization', 'Ising Hamiltonian', 'colliders']",1,Talk,0.9,"['quantum-annealing', 'Ising Hamiltonian']"
2024-10-21,16:00:00,Ground floor lobby,Computing and machine learning for the SHiP experiment,Overview of SHiP's software framework and machine learning for detector design and anomaly detection.,https://indico.cern.ch/event/1338689/contributions/6010531/,SHiP,"['machine learning', 'software framework', 'detector design', 'anomaly detection', 'SHiP', 'tau neutrinos']",2,Poster,0.8,[]
2024-10-21,09:30:00,Large Hall,The 200 Gbps Challenge: Imagining HL-LHC analysis facilities,"IRIS-HEP is developing scalable infrastructure for HL-LHC challenges, demonstrated through a 200 Gbps data processing challenge.",https://indico.cern.ch/event/1338689/contributions/6009824/,CMS,"['IRIS-HEP', 'HL-LHC', 'scalable analysis infrastructure', 'data processing', '200 Gbps challenge', 'CMS NanoAOD', 'ATLAS PHYSLITE']",2,Talk,0.8,[]
2024-10-22,16:15:00,Room 1.C (Small Hall),Downstream tracking and vertexing at the first stage of the LHCb trigger,A new algorithm for reconstructing displaced vertices in real-time at LHCb using GPUs and neural networks.,https://indico.cern.ch/event/1338689/contributions/6015405/,LHCb,"['Downstream algorithm', 'displaced vertices', 'GPU', 'neural networks', 'LHCb', 'long-lived particles']",3,Talk,0.9,[]
2024-10-24,11:00:00,Large Hall,Serving Photon Science and HEP at the same facility,"DESY's transition to support Photon Science alongside HEP, detailing changes in computing and future plans.",https://indico.cern.ch/event/1338689/contributions/6080339/,,"['DESY', 'Photon Science', 'HEP', 'Computing', 'Data Archival']",1,Talk,0.8,[]
